Month,New_Customers,Referral_Percentage,Campaign_Percentage,Partnership_Percentage,Energy_Discharged_kWh,Outage_Avoidance_Percentage,Avg_Savings_Per_Customer,Total_Savings
January,141,23.45,36.45,28.64,1185,93.74,48.22,4026
December,48,29.61,32.6,21.22,1609,85.52,40.98,1219
September,223,37.55,21.69,22.21,821,94.36,45.71,2360
December,181,43.53,38.02,25.23,1648,93.82,44.47,1874
November,185,22.28,34.96,21.19,711,84.8,36.27,4853
January,266,23.56,28.4,28.27,1131,84.88,46.94,2177
December,26,42.1,36.4,10.51,1117,87.03,42.25,4119
October,58,46.69,23.46,17.63,1383,95.35,46.11,8461
June,275,44.61,15.13,19.98,1870,88.79,49.79,3360
September,35,25.66,21.61,24.5,1495,94.89,24.2,2197
November,55,25.83,26.38,21.37,1787,86.89,49.19,4945
December,208,41.09,38.09,23.21,1383,94.0,48.41,4438
November,23,33.6,34.35,26.84,1045,96.13,29.92,3944
September,280,47.67,18.02,14.76,985,94.0,40.22,3308
March,49,44.32,35.53,22.99,938,93.31,42.96,3117
June,188,42.38,28.52,14.94,545,84.88,26.02,9525
June,97,23.37,19.4,19.01,795,94.26,42.37,5198
October,135,29.68,14.9,20.57,1252,96.16,43.85,2546
March,232,31.18,31.46,27.02,1681,93.92,42.09,1336
November,226,28.38,25.79,10.89,1292,93.22,20.52,8898
May,23,20.74,30.22,15.99,1799,87.04,21.16,1065
May,140,47.64,33.93,23.42,1879,91.18,28.68,7308
May,161,23.64,30.83,23.36,1865,81.65,36.43,5064
November,134,27.94,17.53,19.16,577,83.3,25.74,3403
January,194,20.1,30.34,26.85,1427,86.18,41.17,5709
April,210,24.16,17.63,13.56,934,95.88,21.17,1182
January,255,38.94,16.01,14.63,1123,91.25,45.74,6075
April,248,35.38,21.6,24.91,759,86.64,23.57,5290
October,20,49.96,39.36,14.32,1050,86.59,22.32,4374
August,10,27.4,21.37,17.97,1459,84.07,32.32,9041
September,268,47.73,32.59,16.79,655,96.29,26.57,3290
May,170,25.06,35.75,20.25,1443,94.9,30.21,6391
October,154,43.94,20.6,13.6,1687,86.3,47.68,7880
August,14,43.26,35.75,26.42,779,89.4,49.49,2125
August,116,36.09,27.65,21.35,1255,81.29,31.68,6215
January,127,45.99,38.12,24.66,1223,97.09,40.69,5951
June,237,23.33,33.66,16.89,1476,99.94,28.45,1815
September,39,26.06,36.32,19.46,1531,94.82,25.05,8416
November,103,49.95,22.36,21.13,1238,84.25,42.53,1349
October,51,42.68,16.52,24.71,1894,92.26,35.45,2194
December,46,34.34,35.85,20.38,1393,97.29,23.52,4265
January,24,26.03,25.09,20.67,781,97.8,31.55,5698
April,189,33.21,29.63,16.32,1671,85.24,35.98,7096
March,82,35.01,31.74,27.37,1957,82.43,23.77,3250
January,260,32.26,38.8,21.85,1129,86.42,35.47,6785
April,292,49.1,33.03,18.79,856,84.31,44.0,6887
April,36,43.05,22.73,19.3,1205,80.95,41.52,8667
January,261,21.15,21.96,26.93,1409,94.16,45.37,6713
December,115,48.65,11.63,23.54,641,83.84,35.28,6972
June,283,24.79,36.41,11.79,1985,96.43,42.7,1951
September,79,20.33,23.21,29.18,1733,86.43,21.9,9739
February,158,25.33,25.9,25.2,1553,96.24,37.59,4621
June,233,39.1,28.21,12.88,1923,94.72,27.53,6492
September,37,20.2,13.0,15.84,552,96.05,46.89,4400
November,153,36.21,18.0,20.71,1821,80.64,20.96,8827
March,40,39.71,10.36,29.3,1227,97.55,43.65,3346
March,157,40.73,15.77,14.5,522,95.53,48.85,4631
May,56,31.44,32.07,15.93,586,86.09,26.5,4861
April,45,38.74,16.75,23.88,1867,83.64,22.37,6877
September,168,45.83,36.36,22.5,1523,86.92,47.94,5345
June,91,31.5,33.25,24.95,1026,98.71,32.28,9800
January,225,29.62,10.16,13.25,603,91.47,42.8,5428
August,244,26.15,22.79,12.55,597,93.13,27.69,1568
August,41,29.15,18.47,22.63,783,99.41,21.88,9827
February,15,22.0,29.54,26.2,1001,89.57,27.1,6851
June,148,32.25,34.52,26.68,827,88.62,42.22,6325
June,264,24.44,36.88,19.19,1150,92.1,38.55,4817
February,58,24.89,30.11,25.91,926,85.98,22.22,6663
November,97,40.16,30.86,18.89,1002,90.25,39.38,7549
April,64,27.21,36.12,12.33,957,93.26,43.32,1892
October,192,29.39,15.05,12.69,1557,86.67,45.69,3474
September,92,45.58,38.67,26.28,1956,89.93,49.86,8944
March,236,25.84,30.55,20.5,1524,89.22,30.85,4354
March,219,28.07,12.75,29.32,1503,86.7,23.31,5484
June,177,23.74,18.85,27.51,1241,95.2,48.73,9084
April,175,34.71,33.37,24.72,679,81.52,34.54,6118
July,119,38.51,39.87,27.22,1726,84.75,28.58,3024
May,118,27.52,13.49,25.8,751,89.97,48.82,8358
July,81,46.43,29.58,24.16,1219,81.25,37.98,3385
May,243,41.08,24.57,25.82,1068,97.95,24.58,7704
October,51,26.12,25.58,18.93,1065,94.8,48.21,8190
January,44,37.83,20.41,26.62,1182,87.6,36.09,6837
June,297,26.86,33.46,14.38,1426,84.86,49.81,3082
April,174,48.05,26.76,11.77,1820,81.59,39.77,1839
March,141,31.29,38.21,26.6,1373,84.25,46.99,1447
January,285,28.26,23.82,13.55,1161,81.0,21.27,4577
September,95,48.03,33.31,10.61,822,84.98,37.16,2902
November,93,23.24,23.41,19.49,1686,88.49,21.57,6307
May,26,22.67,37.32,14.72,1503,94.5,41.15,9883
July,76,30.2,28.63,27.21,1213,85.93,38.17,3021
September,16,29.68,11.76,25.39,1246,96.73,25.99,5128
December,57,47.02,29.96,27.88,1123,82.03,34.42,4322
November,187,28.23,37.76,16.75,1028,85.15,31.94,7435
February,162,26.68,22.66,23.19,1476,88.04,46.29,9705
August,220,41.72,15.75,26.65,628,90.95,30.24,3836
February,180,42.62,14.81,26.94,1235,91.3,43.15,4455
December,184,47.95,20.81,18.33,1895,99.35,26.99,8055
September,92,44.03,10.29,25.08,1228,95.38,20.38,8701
April,100,42.34,37.52,20.38,962,80.02,45.79,9912
June,55,24.63,24.84,29.74,1415,90.51,43.88,7062
June,171,20.34,22.87,26.61,1991,80.8,32.14,3335
December,27,28.97,16.74,21.91,1066,82.34,22.2,9717
September,80,45.16,28.55,11.86,1530,86.42,39.94,8296
November,235,26.04,37.26,12.66,1312,82.76,41.41,2615
June,237,33.27,34.7,15.36,1269,88.04,35.18,6130
July,131,20.04,35.17,14.37,1040,84.6,30.34,3720
November,230,24.39,22.95,22.71,1394,84.91,45.79,5985
May,108,39.93,19.79,22.89,1250,98.32,45.27,4822
November,295,49.9,18.45,24.85,763,87.87,30.44,1002
August,240,35.97,20.71,16.25,1321,94.48,38.42,3454
January,15,24.02,22.74,18.29,864,83.06,44.93,3444
June,57,47.96,39.32,18.54,1595,90.33,29.39,7159
July,141,33.84,37.05,11.03,519,80.41,26.63,6071
January,138,27.27,30.8,25.12,604,95.04,24.29,1852
January,151,36.73,15.17,26.94,1036,80.97,46.26,7661
August,271,34.79,36.22,13.35,1380,85.33,33.04,9129
April,106,27.43,11.19,20.39,1469,99.46,20.33,8868
October,242,21.59,36.8,14.33,1435,83.21,43.21,2961
May,295,36.85,37.83,10.34,712,96.43,49.6,6719
March,225,44.1,15.4,27.94,693,81.51,31.36,1321
November,176,32.16,27.43,10.62,571,96.89,35.06,2566
September,253,41.89,22.45,27.51,1346,95.29,38.42,4802
December,186,46.8,23.47,27.89,996,85.83,42.65,6338
August,163,32.16,15.07,24.44,1816,84.21,46.83,1743
April,10,30.61,36.42,22.5,1189,85.8,22.68,3229
May,141,34.42,16.55,14.1,1662,89.72,37.28,6175
April,80,39.92,10.25,14.61,1032,93.96,44.36,4479
October,261,33.39,27.41,23.8,1939,87.85,20.87,1217
March,23,21.62,22.08,21.2,1557,94.51,41.71,7463
April,169,38.99,29.61,24.39,1228,97.23,45.04,7035
October,123,26.17,22.18,29.19,826,89.86,25.73,9567
January,179,47.08,31.83,13.01,1288,96.53,46.12,1769
December,210,46.43,30.54,18.63,944,89.16,35.58,5141
August,226,20.07,33.73,14.74,1701,98.73,46.71,2892
May,86,26.19,10.13,23.86,769,93.44,40.87,3569
December,146,43.6,35.57,16.26,1791,93.21,41.07,6009
November,167,25.39,35.63,28.16,1722,83.34,26.87,2306
December,189,29.08,31.93,28.1,1305,89.76,39.53,6525
September,155,40.07,24.49,21.66,637,87.33,27.69,8040
September,216,22.04,26.19,26.42,1194,95.29,32.48,7062
December,152,33.84,14.29,25.22,1019,88.06,26.18,1395
August,232,36.7,14.11,14.63,524,96.98,31.55,3548
January,165,30.92,20.74,10.11,1153,95.25,39.64,3488
May,199,28.32,16.97,24.46,553,99.31,32.55,8093
May,179,36.84,19.24,13.42,668,91.34,33.07,4972
October,223,25.06,14.53,16.21,945,97.23,26.92,7050
June,188,48.35,34.12,16.0,1700,85.11,31.44,8163
August,34,32.84,20.74,27.24,1268,88.37,49.55,1884
October,105,39.25,25.53,27.16,1305,88.33,36.44,1648
October,66,30.36,36.69,16.19,1034,97.95,22.21,5359
September,210,40.8,33.45,24.29,1406,90.56,26.91,9177
July,44,35.72,28.23,22.96,568,88.17,37.85,2484
September,43,28.23,33.5,11.68,620,99.02,22.18,2537
July,41,26.28,26.31,11.86,1769,93.64,46.43,3522
February,90,28.44,26.04,18.58,1241,93.9,21.31,6143
October,135,21.64,18.74,17.09,1372,96.57,39.69,5189
April,14,38.31,31.69,15.68,992,88.91,38.45,1095
February,160,43.15,29.91,16.44,1984,88.04,27.51,5839
September,152,27.04,14.0,28.89,1325,84.68,30.45,4869
December,239,21.32,30.28,21.73,1191,90.91,24.1,7279
June,18,28.52,10.5,10.57,1051,89.13,39.61,2509
September,63,24.81,12.07,27.82,932,99.97,21.66,2052
November,89,26.91,29.69,27.84,993,84.12,28.9,2728
November,223,42.27,32.16,27.51,989,82.02,40.15,9052
July,16,42.43,29.78,23.21,1346,99.05,32.29,4759
February,20,28.69,31.67,17.57,1734,80.91,26.03,8611
September,137,22.5,31.77,29.39,945,85.49,29.22,6084
May,172,39.89,21.41,27.23,1013,91.12,42.08,7392
July,224,23.12,21.55,10.53,1099,93.52,36.69,9818
March,108,39.6,22.72,13.52,868,90.02,45.7,4918
September,253,24.65,39.02,13.97,832,87.27,49.69,7278
February,84,34.38,12.47,10.29,740,83.06,43.0,4030
January,243,43.37,34.48,12.91,1592,86.11,40.6,7269
July,288,30.84,13.44,28.75,968,92.95,35.43,4715
July,218,24.6,23.42,27.53,1274,80.34,40.93,2575
August,151,31.14,16.06,24.54,1317,87.99,28.66,7944
October,259,25.92,21.92,26.47,786,84.24,40.12,6437
February,183,23.7,38.9,22.7,786,93.1,21.51,3678
May,178,37.67,34.55,11.39,854,92.44,37.77,1039
January,63,39.06,30.49,29.12,1392,84.99,48.87,6475
July,38,21.14,31.04,29.44,1335,88.22,31.09,4192
September,257,25.81,30.56,28.1,1416,89.11,20.67,5526
February,293,20.22,13.7,17.9,1137,92.48,26.47,6703
May,35,44.32,15.42,13.02,1656,95.38,45.33,8203
March,242,45.19,13.56,17.71,1306,99.05,35.77,5970
September,108,47.93,32.4,10.78,1062,84.2,25.79,3464
May,208,47.09,36.38,14.5,1150,91.07,30.86,9373
July,273,39.7,24.83,17.91,1733,81.92,44.2,1400
October,145,46.82,16.8,20.57,956,83.46,48.95,2547
January,13,20.48,31.46,10.72,895,91.06,46.22,2076
October,233,23.58,19.93,21.8,1657,86.66,38.24,9531
February,244,38.51,17.79,26.74,1958,97.07,29.67,2359
August,162,21.93,15.58,12.26,1267,94.27,26.38,6975
August,29,45.05,21.64,19.96,738,88.23,27.39,4926
June,105,25.93,13.8,20.84,1937,94.31,29.41,1624
November,71,47.11,15.7,28.79,879,84.69,22.26,4814
September,70,30.79,16.06,10.67,1398,87.05,37.36,7277
January,252,44.96,15.65,10.87,831,82.29,26.42,6495
March,84,40.6,38.42,17.98,951,87.45,25.54,7787
July,244,22.29,28.7,12.01,987,91.68,24.34,3687
May,267,28.08,38.13,19.19,1903,95.6,27.14,9616
February,156,24.87,31.21,24.86,1511,94.35,38.03,5853
September,209,47.7,19.22,25.71,1381,80.41,36.67,4141
July,60,31.82,27.69,27.56,787,84.47,21.84,9708
September,267,47.88,32.53,19.43,908,82.29,30.16,6373
May,63,43.66,11.67,14.21,1059,92.7,44.3,8627
April,194,49.59,27.88,24.68,1355,98.16,36.4,2180
March,294,24.39,12.05,22.81,1267,88.63,47.52,8170
August,228,22.15,26.53,11.58,996,91.37,45.1,1973
January,28,46.17,17.77,12.72,949,91.0,26.65,2633
July,157,21.91,13.45,17.55,1822,95.47,44.52,3410
August,188,40.71,25.54,25.03,974,94.2,30.92,6377
January,104,39.85,37.64,12.17,1043,99.98,32.21,7307
March,58,47.38,32.63,24.19,1153,90.72,23.78,4468
December,174,37.28,38.25,23.86,803,83.32,27.86,5267
September,166,48.76,28.07,23.71,1443,99.65,28.82,6615
December,129,42.75,12.9,26.11,1286,82.35,37.2,6387
January,119,29.93,34.32,23.72,832,91.64,46.21,6347
June,171,47.8,20.14,15.37,1893,91.5,29.88,7673
March,275,44.71,25.82,21.36,1972,85.64,35.56,8792
February,10,21.03,34.22,13.33,500,90.9,34.57,9340
October,264,26.95,23.31,16.0,1193,89.22,46.9,6767
February,175,43.19,33.02,18.14,1020,92.99,25.99,9960
May,100,42.07,10.65,27.04,1047,96.09,36.99,7522
December,173,28.34,32.78,22.63,899,82.32,42.76,3517
March,71,37.03,13.88,11.4,1353,93.28,33.4,4720
May,127,39.3,24.1,23.45,1306,92.72,22.92,1130
March,208,47.76,27.39,10.35,1781,82.11,46.63,9259
April,284,35.96,11.42,23.59,1182,82.3,37.93,8694
September,197,35.56,11.14,10.87,1334,88.23,28.67,1601
June,186,44.89,23.89,15.74,1830,88.19,33.66,2187
July,137,35.85,29.89,27.49,1433,93.99,21.96,3309
November,120,37.46,23.86,20.78,1299,89.84,36.9,1945
June,37,48.68,27.7,10.25,1220,95.29,46.44,6403
April,72,43.27,25.12,27.34,893,90.41,48.51,4190
January,287,33.72,25.14,21.73,748,95.85,49.21,7044
March,181,44.55,31.54,27.31,972,93.91,38.14,4002
August,183,43.03,19.26,18.4,988,89.69,21.22,2275
May,291,32.21,33.73,26.4,1846,92.6,45.5,6421
November,19,38.93,11.08,15.33,1309,97.19,27.09,2731
June,110,29.98,23.87,10.07,1829,92.16,29.62,7839
September,231,34.98,39.51,24.31,851,84.84,30.89,9710
June,264,23.19,22.68,13.01,1279,84.72,41.93,6919
April,58,26.75,37.5,18.89,751,83.33,42.03,5253
October,121,38.32,12.37,22.49,707,92.99,26.61,3392
April,135,38.93,27.0,11.36,616,95.94,45.49,2331
May,214,40.85,33.89,10.7,1937,98.78,20.05,5323
October,138,41.07,33.53,20.74,1155,94.43,49.85,5053
September,236,30.32,10.57,15.66,1719,83.75,22.18,1160
August,206,25.34,21.0,17.28,1617,97.07,23.33,1605
October,270,36.91,15.89,23.62,1546,89.01,32.94,1237
December,180,25.32,16.52,21.59,1826,89.11,43.82,9416
October,215,32.98,28.3,17.52,596,95.25,31.27,7751
February,128,47.75,36.36,13.99,1041,89.64,26.77,8187
November,299,42.63,20.02,20.72,1337,91.99,48.37,7528
September,178,26.23,33.09,27.59,1964,89.01,32.42,3520
November,178,32.32,12.83,20.11,1563,98.31,22.68,9441
October,298,35.44,38.6,26.58,1264,84.38,48.87,7424
September,299,32.19,21.78,21.16,1781,87.3,35.6,2477
March,16,47.99,11.55,18.24,1364,80.52,22.69,1164
February,65,44.37,22.34,10.17,1798,92.21,48.84,7554
September,279,25.69,36.5,17.57,708,80.82,35.27,6177
December,167,39.49,31.13,16.06,683,84.67,37.54,8305
March,143,40.69,17.8,12.42,740,85.51,32.2,7248
May,66,49.91,34.85,22.3,1306,98.91,39.52,6019
August,276,21.22,19.58,25.64,1557,98.28,24.64,7294
August,240,48.01,34.92,26.66,504,98.14,46.85,3579
June,41,45.17,20.68,12.24,586,97.97,22.84,3125
July,135,34.06,22.47,26.82,1957,94.19,49.76,3293
March,187,42.77,38.66,19.84,556,88.22,42.0,4121
February,28,29.22,39.94,17.29,1559,87.54,35.32,6381
May,283,23.05,22.52,12.49,1680,83.71,26.42,1636
July,269,34.06,37.35,28.3,1655,97.76,26.17,5939
October,227,24.0,31.04,29.1,1493,82.24,22.93,4599
January,218,36.28,22.46,24.7,1791,86.16,43.35,2974
January,98,40.44,25.93,26.69,1000,92.44,33.39,4125
September,261,27.08,27.55,11.19,1935,99.81,34.68,5236
July,114,43.39,38.57,23.41,777,99.31,43.14,2505
September,20,36.26,17.28,10.74,682,90.68,31.4,5473
May,294,48.35,33.91,22.73,1391,84.11,21.57,4884
September,240,37.64,31.78,27.94,1797,83.46,45.02,1938
June,259,22.37,19.44,12.24,1323,84.75,48.62,9958
September,263,46.09,26.4,24.34,1002,83.57,36.11,4467
September,234,45.99,37.45,15.97,860,98.37,30.25,5543
April,190,33.15,22.07,11.7,1379,97.71,29.2,2317
January,225,32.51,13.71,16.12,1113,98.91,44.68,2944
September,157,37.73,17.38,17.94,1889,96.26,26.52,2695
June,83,45.81,20.9,28.95,948,95.14,46.25,4755
May,293,43.53,21.29,18.7,1123,92.57,21.55,6545
September,103,23.34,20.4,15.13,1708,97.46,28.17,6501
January,143,21.12,19.31,19.11,529,88.03,40.97,8848
December,203,20.6,24.41,11.02,1520,84.38,45.41,8133
February,116,30.35,37.91,24.46,1671,89.36,43.41,4064
April,201,49.72,27.67,19.08,1832,88.25,30.31,8306
November,115,35.14,34.97,11.09,1882,88.7,28.04,3808
January,152,20.23,33.92,28.38,1857,84.52,31.87,8207
January,217,32.49,37.65,27.52,516,87.17,21.49,7745
September,192,26.41,10.63,21.06,1746,99.37,24.51,2850
May,174,45.15,28.18,22.22,1761,95.44,42.1,1699
February,247,23.62,16.15,20.38,1161,83.6,44.86,6825
June,72,44.73,13.79,26.6,1552,84.3,26.27,8680
September,253,23.54,25.85,17.93,1416,90.05,39.49,4270
December,26,45.79,20.94,16.23,1731,85.07,23.31,8652
October,146,42.57,20.63,23.74,1197,85.59,48.03,6095
May,122,24.08,38.71,29.27,1688,93.04,46.6,9915
May,163,44.27,25.77,28.04,536,98.42,23.59,8146
December,248,43.05,18.43,24.23,1641,96.5,38.24,1168
November,228,20.85,37.65,13.73,981,96.68,28.92,6670
May,259,32.09,34.2,29.02,910,89.21,42.76,9264
July,19,36.47,33.09,22.88,1386,87.15,40.97,1283
February,129,29.89,23.45,15.91,1396,93.79,24.45,8723
February,132,20.97,11.82,17.94,519,96.3,29.63,5561
January,89,26.08,34.52,12.44,1695,98.45,42.49,1135
August,20,33.17,29.79,15.37,522,86.0,28.15,3487
March,147,39.36,26.38,10.62,1117,98.88,37.64,1958
November,13,21.42,36.62,22.75,909,93.91,25.62,9804
November,80,42.08,26.3,19.48,1575,83.86,39.41,7094
October,15,29.55,26.32,14.65,592,84.17,43.15,5810
July,65,32.02,23.25,14.92,943,93.27,30.57,8001
October,98,42.38,36.08,28.76,1688,82.58,42.11,4204
September,72,27.97,38.9,26.47,537,89.04,28.84,9840
February,288,28.25,20.77,20.59,731,83.01,23.41,9523
February,293,48.11,33.95,15.63,1792,91.61,46.01,3620
May,209,41.04,25.66,28.96,681,94.3,30.15,2287
September,148,24.03,37.35,27.58,929,84.74,35.86,2509
February,83,21.34,23.51,12.74,1999,89.08,21.51,5165
December,121,29.55,27.99,23.28,1574,96.35,47.57,1731
June,60,47.64,34.54,12.26,1879,81.33,38.73,3771
October,187,40.51,33.51,25.46,1584,87.42,47.57,3657
January,261,22.38,20.39,25.36,1790,84.82,27.57,6210
November,53,33.72,28.84,19.87,1048,96.5,30.36,7049
November,86,45.01,16.93,23.75,1019,99.72,24.7,7968
May,223,36.91,19.14,27.51,808,80.58,21.37,2012
June,13,34.9,24.53,16.83,1192,91.97,36.56,3373
January,233,40.97,21.91,14.33,1689,90.54,22.56,6282
July,32,40.82,37.98,10.15,1314,93.08,42.03,6139
May,239,32.49,11.72,27.05,1029,91.25,39.34,2401
June,182,43.09,35.95,15.3,1106,86.26,40.75,1410
August,282,37.63,38.87,25.29,1039,81.21,44.22,7947
September,98,41.49,38.87,14.19,1692,99.22,23.42,4337
December,268,37.15,36.49,17.35,1266,88.64,21.44,3907
September,97,40.68,31.4,22.34,1509,91.1,38.33,6779
December,74,33.79,14.96,27.75,1020,89.66,47.08,9236
August,297,29.39,15.76,14.34,1073,93.45,23.83,3422
December,65,43.28,17.64,11.79,1606,97.84,38.74,6424
February,76,37.66,33.65,29.85,1705,85.95,41.3,5007
December,194,25.37,21.77,29.38,858,91.31,48.63,8712
October,282,46.88,22.96,10.87,1316,90.86,31.73,4883
August,154,39.15,16.8,25.42,1861,82.75,44.63,2191
June,245,43.83,15.73,20.68,1449,92.6,40.47,8673
January,88,29.22,25.26,27.58,1972,87.85,35.33,7398
July,88,28.12,15.66,13.99,1104,93.98,33.14,7038
May,55,43.02,39.43,10.66,599,95.69,24.95,3157
April,134,40.35,32.54,28.9,1564,91.79,38.52,1827
November,176,21.65,21.54,22.06,978,86.28,43.83,1316
September,138,40.22,33.27,28.26,1846,84.4,34.42,7054
June,172,45.44,36.44,23.54,745,94.8,45.76,2088
January,39,40.52,36.24,16.59,1217,81.89,23.58,4822
July,62,24.5,15.88,24.04,1804,99.19,28.1,7430
June,144,42.2,37.3,12.91,820,93.3,20.66,8099
December,42,31.66,16.43,26.49,1444,92.33,29.36,8455
February,291,41.94,28.83,27.17,1130,99.95,32.66,5257
June,283,29.98,12.03,15.33,809,93.1,42.49,9240
September,243,25.15,27.03,26.6,532,94.48,49.48,6534
December,102,33.6,25.29,11.63,973,80.15,48.03,6089
February,42,36.7,13.37,16.33,1796,91.11,24.64,6543
October,296,35.51,36.71,17.38,1635,95.23,36.67,4857
June,15,36.85,15.88,17.43,1070,85.72,39.54,9298
May,87,32.62,12.0,25.54,1325,89.18,42.73,3369
April,26,49.63,31.29,12.52,914,91.54,28.15,2352
March,28,20.88,13.25,28.15,1996,93.46,40.5,4495
October,289,29.74,11.17,21.25,503,83.87,37.15,1086
January,276,35.25,35.89,17.29,1475,90.73,31.66,7323
August,285,24.54,18.98,15.25,1529,81.76,25.89,6896
May,211,20.27,15.4,13.05,1058,86.96,28.67,6386
October,67,24.87,31.71,24.48,1094,80.01,32.4,6710
June,21,41.88,17.24,10.94,1585,85.46,35.29,6429
September,270,21.5,28.02,29.02,1646,94.87,44.87,3779
April,16,20.78,31.03,27.03,1606,90.08,43.65,4897
March,63,43.15,18.26,20.32,1992,87.07,34.05,5173
December,184,40.65,28.67,23.75,995,93.73,47.85,1687
August,271,45.78,11.11,27.86,792,81.93,42.55,3341
August,71,38.36,37.95,16.19,1015,80.86,32.4,6685
November,166,35.37,25.27,28.24,1961,92.74,34.82,6593
May,288,34.79,21.25,15.11,1782,95.09,44.27,1979
July,16,22.67,37.17,16.02,663,94.98,33.12,1313
September,286,40.82,23.14,17.49,680,80.92,20.73,5770
February,260,23.56,36.65,24.83,1889,87.36,33.62,1263
April,247,37.13,26.12,13.09,535,90.43,28.68,5439
July,38,45.9,17.39,20.37,1223,83.95,27.39,5061
December,110,48.62,28.54,21.05,742,99.02,29.18,2922
February,143,39.32,37.83,20.2,1637,99.6,34.35,9746
September,122,31.11,24.16,21.69,1711,86.48,32.81,9142
June,224,26.09,32.86,14.14,863,85.24,36.78,9860
November,41,26.94,25.74,15.25,562,88.48,45.97,1536
August,133,38.84,11.63,28.82,721,97.43,24.58,4392
July,112,42.27,17.19,20.0,1893,92.74,44.97,1760
February,214,49.3,18.19,23.8,1872,86.33,26.8,8949
June,120,49.93,16.57,13.41,703,91.53,49.75,4153
June,131,34.58,22.98,18.37,1431,88.25,41.8,3954
April,118,32.15,29.28,28.5,1895,82.6,34.63,7569
July,236,26.57,10.83,29.79,1480,90.6,31.27,5733
May,144,45.87,19.39,15.39,947,85.13,41.74,7113
February,216,31.43,11.9,26.11,1109,86.97,32.44,8578
May,87,44.3,35.44,10.4,1463,85.36,37.27,7262
May,285,38.4,37.81,10.02,509,94.68,30.84,1787
May,115,30.93,23.04,12.71,742,91.24,20.12,9678
September,243,28.32,19.96,19.12,1990,99.74,28.72,6089
April,284,29.21,25.3,15.21,614,95.57,45.63,5390
April,245,27.66,17.51,14.48,1416,91.57,44.84,8123
September,272,39.52,35.43,28.5,1634,85.69,25.39,2265
October,41,31.7,34.49,24.79,1176,80.95,34.63,1926
October,131,27.84,25.81,23.54,1114,96.19,42.52,2289
December,135,43.06,26.27,22.65,1546,87.19,48.14,2264
November,244,26.54,24.65,10.43,820,85.9,28.28,5280
November,181,29.36,25.4,15.72,1546,94.42,49.29,1547
March,197,27.12,36.12,21.62,1419,92.67,30.3,8277
March,143,25.83,12.7,29.62,1097,87.34,35.66,1394
April,101,42.52,38.34,17.43,1148,98.6,27.1,8955
August,271,39.49,18.15,12.69,773,95.93,31.45,3697
January,80,44.14,28.73,16.87,1952,92.22,33.23,6198
August,243,45.74,23.18,15.35,1008,84.84,31.36,8472
September,86,48.69,36.94,14.07,1352,82.75,27.08,1535
January,262,23.95,32.86,18.97,1353,88.64,27.52,7825
September,48,35.52,27.94,28.33,1329,96.58,36.07,7766
July,134,20.67,35.25,25.71,662,95.04,24.38,2877
December,114,45.5,30.38,17.83,1597,84.97,44.79,8764
September,164,21.55,28.47,21.36,1078,99.61,27.57,3428
July,207,22.9,28.81,24.31,1898,80.52,49.3,3869
November,242,45.88,31.72,28.41,1768,91.77,22.83,6135
March,115,37.74,31.16,23.3,1478,81.18,23.47,4891
September,55,48.76,17.45,21.28,938,87.99,27.66,2183
January,15,22.57,37.24,22.92,761,91.99,33.6,9709
October,90,42.6,25.3,10.12,1205,97.11,35.71,2312
March,215,30.67,36.02,11.55,1959,95.11,30.71,3127
September,36,31.58,30.75,23.79,1540,96.93,26.43,3260
October,209,26.42,30.62,18.84,551,83.19,36.58,1229
July,66,49.61,28.46,17.43,1140,93.34,48.75,6925
May,97,40.17,36.77,14.38,1059,87.56,46.22,5915
March,29,45.8,31.77,18.0,1133,97.13,28.65,1708
July,283,36.27,22.18,19.1,1983,93.0,38.3,3484
September,109,36.62,28.52,14.44,1321,85.12,20.71,9126
May,217,46.1,25.6,23.16,568,88.55,32.05,7336
September,159,38.83,39.34,16.82,1901,96.85,43.6,3022
March,55,37.09,25.75,17.75,625,92.26,41.02,7904
August,194,31.35,30.65,12.49,730,93.58,34.8,3806
August,178,34.79,19.52,14.24,614,99.25,37.45,1153
January,208,31.77,38.02,23.56,945,88.06,24.59,8300
November,293,37.08,34.11,15.9,876,86.5,35.5,9900
October,152,29.88,32.15,14.01,505,92.03,23.23,5297
December,199,34.77,10.4,15.69,1866,87.92,22.79,1421
January,279,27.09,18.3,26.82,1618,89.0,23.04,7919
April,142,27.24,31.05,23.38,605,91.83,43.52,1366
December,271,41.37,26.71,10.41,1837,82.6,49.45,9526
August,294,42.06,16.48,14.57,1710,85.57,21.18,5864
July,47,25.95,35.28,17.52,1350,94.42,34.92,1008
December,193,29.48,35.35,18.37,1460,90.86,49.38,5051
August,193,48.77,14.32,19.19,1746,95.69,23.98,1638
April,247,43.53,20.44,19.07,1256,87.98,42.29,1854
May,292,42.56,26.79,21.79,851,80.68,27.84,2107
January,180,22.79,21.11,26.24,1159,84.37,23.27,6691
June,176,49.79,36.34,16.68,919,80.37,32.39,3313
April,52,45.66,33.04,26.33,1666,94.77,38.79,4159
March,265,42.05,19.06,26.99,1974,90.57,40.84,3063
October,162,31.51,29.08,11.82,652,94.49,28.18,6634
January,216,41.5,25.1,27.12,1816,82.86,34.53,1412
August,78,37.86,35.46,13.55,1041,85.1,36.57,5515
November,261,33.96,35.45,10.22,1830,93.49,39.66,2943
